Date,Time,Owner,Type,Description,Order,Theory,Solve-Crime-Note,Location,Characters,Solve-Crime,Solve-Crime-Relavence,Status,Id,Label,Categories,Tags,Creatable,Image-Src
9/1/2010,2:00 AM,Butcher,Memory,Born an Addict,,,,,,,,,,,,,,
10/1/2015,,Butcher,Memory,Watching Parents Shoot Up on Couch,,,,,,,,,,,,,,
2/1/2017,,Butcher,Memory,Watching Parents OD,,,,,,,,,,,,,,
3/1/2017,,Butcher,Memory,Parents Funeral,,,,,,,,,,,,,,
6/1/2019,,Butcher,Memory,"The Butcher is nine years old and his Grandpa has brought in a sheep for him to slaughter. There are a number of ways players can resolve the scene; 
1. Grab knife and cut lambs throat -> GOTO Night in Trench, then #5 Butcher in front of butcher block 
2. Run away ->
3. Free lamb ->",6,3 Butcher: ???,This scene makes Raf seem Violent. Maybe he did it?,,,,,4 Engine Format,,2,,,,
10/1/2020,,Protagonist,Power,"Endurace: Swimming, Mother Drowning",,,,,,,0,,,,Childhood,,,
8/1/2024,,Butcher,Memory,Horse Race with Grandpa,,,,,,,,,,,,,,
9/1/2025,,Butcher,Memory,Learns His Future Boss Sold Drugs to his Parents,,3 Butcher: ???,Possibly his boss is at the scene as well?,,,,,,,,,,,
9/1/2026,,Butcher,Memory,Learns Grandma Has Severe Dementia/Alzeimers,,,,,,,,,,,,,,
9/1/2027,,Butcher,Memory,Both Granparents Die in Same Year,,,,,,,,,,,,,,
5/1/2028,,Butcher,Memory,Signs Up For Military,,,,,,,,,,,,,,
6/1/2028,,Butcher,Memory,Bootcamp,,,,,,,,,,,,,,
2/1/2029,,Butcher,Memory,Photo Opp with War Buddies,,,,,,,,,,,,,,
1/1/2030,,Butcher,Memory,Off to War,,,,,,,,,,,,,,
1/1/2030,,Protagonist,Power,Middle Finger: Protagonist Being Defiant,,,,,,,-1,,midFinger,Middle Finger,,Disagree,,
3/1/2031,,Butcher,Memory,War: Innocent Civilians Killed,,,,,,,,,,,,,,
10/1/2031,,Butcher,Memory,Night in the trench watching his war buddy bleed out of his leg.,7,3 Butcher: ???,Watching a friend bleed out. Is this an earlier victim or a sign that his PTSD may have got the better of him. ,,,,,,,,,,,
12/1/2031,,Butcher,Memory,Gets Married,,,,,,,,,,,,,,
2/1/2032,,Butcher,Memory,Birth of Daughter,,,,,,,,,,,,,,
9/1/2032,,Butcher,Memory,Daughter Dies,,,,,,,,,,,,,,
1/1/2033,,Butcher,Memory,"PTSD, Drinking & Drugs Leads to End of Marriage",,3 Butcher: ???,It appears he's unstable. ,,,,,,,,,,,
2/1/2033,,Butcher,Memory,"The Butcher is at a soup kitchen, down on his luck. He meets Anarchist Dick and they talk about his issue with PTSD. Players will note that Anarchist Dick is one of the victims at the crime scene. Anarchist Dick talks to him about the benefits of brain sharing as a collective strategy for healing trauma. Players will later learn that this was an early attempt by Anarchist Dick to infect the Butcher with the Virus.",8,1 Crazy Cult,The Butcher knew one of the victims. Appears Anarachist Dick was recruiting him. ,Soup Kitchen,,,,,,,,,,
6/1/2034,,Butcher,Memory,Corner Store w/ Anarchist Dick,,1 Crazy Cult,,Corner Store,,,,,,,,,,
1/1/2035,,Butcher,Memory,Raf Needs a Job,,,,,,,,,,,,,,
